0.8 0  0.5
0.55 0.60 0.40
4 4 0.70
3 1 0.90
2 5 0.50
3.59 2.90 0.80
0.50 2.00 1.30 
0.48 4.00 4.50
0.90 1.00 5.00
1.50 1.60 6.00
-0.40 -0.30 2.00
-0.50 -0.60 -4.00
-1.00 -0.80 -0.10
-0.79 -0.46 -0.30
-0.30 -0.20 -0.40
-0.50 -0.90 -0.50
-1.60 -1.70 -0.60 
4.20 4.00 -0.70
4.30 4.00 -0.80
4.20 3.70 1.00
4.10 3.60 2.00
0.10 0.50 0.70
0.30 0.90 0.40
0.50 0.40 0.70
-2.00 1.00 0.90
-3.00 1.20 0.70
-3.50 0.50 0.50
-4.00 1.30 0.80
-5.00 4.00 1.00
-3.60 1.00 0.30
-4.00 1.20 0.50
-4.50 3.00 0.70
-3.80 1.00 -0.50
-3.70 2.00 -3.40
-4.00 1.00 -4.50
-4.20 0.60 -0.50
-3.50 0.55 -3.60
-3.00 -3.00 -0.70
-3.10 -3.10 -0.90
-3.20 -3.20 0.50
-3.30 -3.30 5.505
